Water Year	00060 Discharge cubic feet per second
1937	19920  
1938	32250  
1939	29040  
1940	18040  
1941	29490  
1942	38730  
1943	43250  
1944	40300  
1945	38770  
1946	34120  
1947	35890  
1948	25570  
1949	21940  
1950	34000  
1951	41690  
1952	50280  
1953	39630  
1954	36360  
1955	28980  
1956	27780  
1957	29530  
1958	23160  
1959	21540  
1960	32420  
1961	24610  
1962	35300  
1963	25370  
1964	20530  
1965	45580  
1966	42260  
1967	35110  
1968	29790  
1969	48130  
1970	26870  
1971	38580  
1972	46320  
1973	49350  
1974	39730  
1975	39300  
1976	29090  
1977	17400  
1978	41120  
1979	45320  
1980	34780  
1981	32070  
1982	40830  
1983	57290  
1984	53640  
1985	49120  
1986	63250  
1987	39010  
1988	21930  
1989	25770  
1990	30630  
1991	41810  
1992	46760  
1993	64720  
1994	46290  
1995	47310  
1996	50430  
1997	52050  
1998	39500  
1999	43950  
2000	32260  
2001	52440  
2002	43550  
2003	38870  
2004	33800  
2005	37850  
2008	41860  
2009	27580  
2010	44320  
2011	68990  
2012	32490  
2013	39950
