Latitude	Longitude	Points_ID	Precipitat
46.553938	-122.888420	149179	3.100000
46.566088	-122.833580	149180	2.800000
46.578204	-122.778710	149181	2.000000
46.590285	-122.723800	149182	2.000000
46.602330	-122.668860	149183	1.800000
46.614341	-122.613890	149184	2.000000
46.626316	-122.558880	149185	2.500000
46.591641	-122.906140	149679	3.600000
46.603806	-122.851250	149680	3.100000
46.615937	-122.796330	149681	2.300000
46.628032	-122.741370	149682	2.000000
46.640093	-122.686380	149683	1.800000
46.652118	-122.631360	149684	2.500000
46.664107	-122.576310	149685	2.800000
46.676062	-122.521220	149686	3.300000
46.641531	-122.868950	150183	3.600000
46.653676	-122.813980	150184	2.500000
46.665786	-122.758980	150185	1.800000
46.677861	-122.703940	150186	2.000000
46.689901	-122.648870	150187	2.800000
46.701905	-122.593770	150188	3.300000
46.715636	-122.721530	150694	1.800000
